beneficiary_sk,beneficiary_id,household_id,first_name,last_name,gender,date_of_birth,age,nationality,vulnerability_status,household_size,program_enrolled,registration_date,scd_start_date,scd_end_date,is_current,record_status,biometric_verified,protection_flag,notes
2101,BEN-02101,HH-0986,Hassan,Kofi,Male,1970-07-13,54,Somali,Refugee,8,Health,2024-06-06,2024-06-06,9999-12-31,1,Active,1,0,
2102,BEN-02102,HH-1293,Hassan,Ndlovu,Female,2005-03-09,19,Ethiopian,IDP,6,Livelihoods,2024-04-10,2024-04-10,9999-12-31,1,Inactive,0,0,
2103,BEN-02103,HH-1684,Zainab,Ahmed,Male,1962-10-23,62,Somali,Host Community,5,Shelter,2024-05-26,2024-05-26,9999-12-31,1,Inactive,1,0,
2104,BEN-02104,HH-0109,Omar,Ahmed,Male,1986-04-08,38,Congolese,Stateless,7,Cash Assistance,2022-03-10,2022-03-10,9999-12-31,1,Deceased,0,0,
2105,BEN-02105,HH-1383,Halima,Mohamed,Male,2012-05-21,12,Ethiopian,Refugee,2,Education,2022-02-08,2022-02-08,9999-12-31,1,Inactive,1,1,
2106,BEN-02106,HH-0076,Fatima,Ndlovu,Male,1986-09-06,38,Ethiopian,Host Community,12,Shelter,2024-09-10,2024-09-10,9999-12-31,1,Active,0,1,
2107,BEN-02107,HH-1739,Hassan,Mohamed,Male,1972-06-01,52,Congolese,IDP,5,Food Security,2023-02-26,2023-02-26,9999-12-31,1,Active,0,0,
2108,BEN-02108,HH-0378,Omar,Diallo,Female,2002-09-03,22,Afghan,IDP,11,Food Security,2022-09-25,2022-09-25,9999-12-31,1,Active,0,0,
2109,BEN-02109,HH-1553,Ali,Warsame,Female,1956-10-10,68,Sudanese,IDP,10,Health,2022-08-22,2022-08-22,9999-12-31,1,Active,0,0,
2110,BEN-02110,HH-1059,Ibrahim,Osman,Male,1982-08-16,42,Congolese,IDP,12,Education,2023-01-07,2023-01-07,9999-12-31,1,Active,0,0,
2111,BEN-02111,HH-0444,Yusuf,Mohamed,Female,1979-11-25,45,Ethiopian,Host Community,10,Livelihoods,2022-09-16,2022-09-16,9999-12-31,1,Active,1,0,
2112,BEN-02112,HH-0881,Ibrahim,Ahmed,Female,1973-08-29,51,Congolese,Refugee,12,Cash Assistance,2024-11-14,2024-11-14,9999-12-31,1,Active,0,1,
2113,BEN-02113,HH-0567,Zainab,Jama,Female,2006-01-30,18,Congolese,Stateless,8,WASH,2023-05-12,2023-05-12,9999-12-31,1,Active,1,0,
2114,BEN-02114,HH-0786,Ibrahim,Ndlovu,Female,2011-10-04,13,Nigerian,Refugee,5,Livelihoods,2022-12-30,2022-12-30,9999-12-31,1,Inactive,0,0,
2115,BEN-02115,HH-1787,Hassan,Diallo,Female,1983-03-04,41,Afghan,Host Community,2,Education,2023-05-20,2023-05-20,9999-12-31,1,Active,0,0,
2116,BEN-02116,HH-1739,Zainab,Ndlovu,Male,1972-05-11,52,Ethiopian,Returnee,5,Protection,2024-04-08,2024-04-08,9999-12-31,1,Active,0,0,
2117,BEN-02117,HH-1150,Zainab,Kofi,Male,1980-04-30,44,Nigerian,Stateless,6,WASH,2023-03-03,2023-03-03,9999-12-31,1,Active,1,1,
2118,BEN-02118,HH-0610,Fatima,Ndlovu,Female,1994-04-22,30,Somali,IDP,11,Livelihoods,2022-11-05,2022-11-05,9999-12-31,1,Transferred,0,1,
2119,BEN-02119,HH-0664,Yusuf,Ahmed,Female,1967-08-19,57,Afghan,Stateless,6,Protection,2023-04-05,2023-04-05,9999-12-31,1,Active,0,0,
2120,BEN-02120,HH-0806,Hassan,Mohamed,Female,1987-01-18,37,Nigerian,Returnee,10,WASH,2022-07-27,2022-07-27,9999-12-31,1,Active,0,0,
2121,BEN-02121,HH-0726,Ali,Jama,Male,1987-04-04,37,Somali,Returnee,9,WASH,2022-07-16,2022-07-16,9999-12-31,1,Active,1,0,
2122,BEN-02122,HH-1019,Ali,Barre,Male,1971-12-20,53,Afghan,Refugee,8,Shelter,2022-02-17,2022-02-17,9999-12-31,1,Inactive,1,0,
2123,BEN-02123,HH-1669,Mariam,Jama,Male,1974-07-28,50,Rohingya,IDP,7,Education,2024-05-17,2024-05-17,9999-12-31,1,Active,1,0,
2124,BEN-02124,HH-0816,Ali,Musa,Female,1960-12-27,64,Syrian,Returnee,3,Cash Assistance,2023-08-08,2023-08-08,9999-12-31,1,Active,1,0,
2125,BEN-02125,HH-0706,Ibrahim,Ahmed,Male,1984-11-11,40,Nigerian,Refugee,8,Shelter,2023-08-31,2023-08-31,9999-12-31,1,Inactive,0,0,
2126,BEN-02126,HH-0810,Zainab,Warsame,Male,1951-01-07,74,Somali,IDP,11,Protection,2023-03-17,2023-03-17,9999-12-31,1,Inactive,0,0,
2127,BEN-02127,HH-0182,Zainab,Kofi,Female,2000-11-18,24,South Sudanese,Returnee,11,WASH,2024-07-31,2024-07-31,9999-12-31,1,Active,1,0,
2128,BEN-02128,HH-1958,Ibrahim,Osman,Male,1952-12-12,72,Yemeni,Stateless,1,Health,2022-08-03,2022-08-03,9999-12-31,1,Active,0,0,
2129,BEN-02129,HH-1498,Zainab,Diallo,Male,2000-12-05,24,Sudanese,IDP,4,Education,2023-07-12,2023-07-12,9999-12-31,1,Deceased,1,1,
2130,BEN-02130,HH-1707,Mariam,Ahmed,Female,2009-09-27,15,Rohingya,Refugee,5,Food Security,2024-05-08,2024-05-08,9999-12-31,1,Inactive,0,0,
2131,BEN-02131,HH-1956,Fatima,Kofi,Female,1957-12-13,67,Nigerian,IDP,1,Health,2022-05-08,2022-05-08,9999-12-31,1,Deceased,0,0,
2132,BEN-02132,HH-0022,Yusuf,Musa,Male,1959-04-23,65,South Sudanese,Refugee,5,Shelter,2024-03-31,2024-03-31,9999-12-31,1,Transferred,1,0,
2133,BEN-02133,HH-1748,Ibrahim,Osman,Female,1997-07-08,27,Rohingya,Refugee,12,Health,2024-05-04,2024-05-04,9999-12-31,1,Transferred,0,0,
2134,BEN-02134,HH-0296,Fatima,Ahmed,Female,1972-02-10,52,Rohingya,Host Community,5,Education,2023-08-21,2023-08-21,9999-12-31,1,Transferred,1,0,
2135,BEN-02135,HH-0153,Ibrahim,Diallo,Female,1978-08-23,46,Nigerian,Refugee,8,Health,2023-02-09,2023-02-09,9999-12-31,1,Active,0,1,
2136,BEN-02136,HH-0664,Mariam,Osman,Male,1955-04-10,69,Syrian,Refugee,4,Shelter,2022-06-13,2022-06-13,9999-12-31,1,Inactive,1,0,
2137,BEN-02137,HH-0622,Mariam,Diallo,Male,1951-06-16,73,Rohingya,Stateless,11,Health,2022-10-05,2022-10-05,9999-12-31,1,Active,1,0,
2138,BEN-02138,HH-1744,Yusuf,Ndlovu,Male,1997-11-15,27,Syrian,Refugee,10,WASH,2024-07-29,2024-07-29,9999-12-31,1,Deceased,0,0,
2139,BEN-02139,HH-0604,Ibrahim,Ahmed,Male,1994-01-14,30,Sudanese,Stateless,2,Food Security,2024-02-19,2024-02-19,9999-12-31,1,Transferred,0,0,
2140,BEN-02140,HH-1347,Ibrahim,Osman,Female,2005-02-22,19,Congolese,IDP,11,Shelter,2022-08-16,2022-08-16,9999-12-31,1,Active,0,0,
2141,BEN-02141,HH-0169,Halima,Ahmed,Female,1956-10-30,68,South Sudanese,Returnee,10,Protection,2023-05-02,2023-05-02,9999-12-31,1,Deceased,1,1,
2142,BEN-02142,HH-1123,Yusuf,Ndlovu,Female,1955-12-17,69,Congolese,Host Community,3,Livelihoods,2024-04-12,2024-04-12,9999-12-31,1,Inactive,1,0,
2143,BEN-02143,HH-0580,Mariam,Osman,Female,1962-06-19,62,Nigerian,Stateless,10,Education,2024-01-15,2024-01-15,9999-12-31,1,Active,0,1,
2144,BEN-02144,HH-1038,Zainab,Musa,Male,1985-01-10,40,South Sudanese,Refugee,6,Health,2023-08-02,2023-08-02,9999-12-31,1,Active,0,0,
2145,BEN-02145,HH-0713,Ibrahim,Ahmed,Female,1988-10-26,36,Yemeni,Stateless,5,Shelter,2024-07-13,2024-07-13,9999-12-31,1,Transferred,1,1,
2146,BEN-02146,HH-0934,Omar,Kofi,Female,2007-04-02,17,Congolese,Host Community,7,Cash Assistance,2022-06-26,2022-06-26,9999-12-31,1,Active,0,0,
2147,BEN-02147,HH-1359,Amina,Osman,Female,1992-09-28,32,Ethiopian,Refugee,4,Food Security,2022-02-16,2022-02-16,9999-12-31,1,Deceased,0,1,
2148,BEN-02148,HH-0083,Hassan,Barre,Male,1966-02-25,58,South Sudanese,Refugee,11,Protection,2023-06-18,2023-06-18,9999-12-31,1,Active,0,0,
2149,BEN-02149,HH-1991,Fatima,Barre,Male,2010-04-26,14,Rohingya,IDP,1,Livelihoods,2023-07-11,2023-07-11,9999-12-31,1,Active,1,0,
2150,BEN-02150,HH-1783,Omar,Mohamed,Male,1960-12-02,64,Congolese,Stateless,3,Shelter,2023-12-21,2023-12-21,9999-12-31,1,Active,1,0,
2151,BEN-02151,HH-0965,Halima,Mohamed,Male,1951-03-08,73,Yemeni,Stateless,10,Education,2023-07-23,2023-07-23,9999-12-31,1,Active,0,0,
2152,BEN-02152,HH-0927,Zainab,Osman,Male,1953-07-02,71,Yemeni,Refugee,12,Health,2023-07-03,2023-07-03,9999-12-31,1,Transferred,0,0,
2153,BEN-02153,HH-0398,Halima,Barre,Male,2019-06-20,5,Congolese,Stateless,10,Shelter,2023-10-06,2023-10-06,9999-12-31,1,Transferred,1,1,
2154,BEN-02154,HH-1310,Halima,Barre,Male,1975-12-14,49,Nigerian,Returnee,9,WASH,2022-08-29,2022-08-29,9999-12-31,1,Active,0,0,
2155,BEN-02155,HH-1833,Yusuf,Osman,Female,1956-07-13,68,Yemeni,IDP,5,Health,2022-02-18,2022-02-18,9999-12-31,1,Active,1,0,
2156,BEN-02156,HH-0590,Mariam,Jama,Female,2008-10-31,16,Syrian,Host Community,12,Shelter,2023-06-22,2023-06-22,9999-12-31,1,Active,1,0,
2157,BEN-02157,HH-1381,Hassan,Musa,Male,2007-07-23,17,South Sudanese,Returnee,4,Cash Assistance,2024-11-10,2024-11-10,9999-12-31,1,Active,0,0,
2158,BEN-02158,HH-0952,Hassan,Musa,Male,2010-06-10,14,Congolese,Refugee,4,Livelihoods,2023-04-11,2023-04-11,9999-12-31,1,Active,1,1,
2159,BEN-02159,HH-0654,Halima,Jama,Female,2003-06-30,21,Yemeni,Returnee,6,Education,2022-01-29,2022-01-29,9999-12-31,1,Active,1,0,
2160,BEN-02160,HH-1709,Ibrahim,Musa,Female,1966-09-27,58,Nigerian,Refugee,12,Education,2022-01-02,2022-01-02,9999-12-31,1,Active,1,1,
2161,BEN-02161,HH-0137,Amina,Kofi,Female,1951-04-30,73,Afghan,Returnee,4,WASH,2024-02-12,2024-02-12,9999-12-31,1,Active,0,0,
2162,BEN-02162,HH-0170,Ibrahim,Ndlovu,Male,1989-11-02,35,Syrian,Returnee,2,WASH,2022-03-30,2022-03-30,9999-12-31,1,Active,0,0,
2163,BEN-02163,HH-0287,Halima,Ahmed,Male,1976-10-23,48,Rohingya,Host Community,4,Livelihoods,2022-04-30,2022-04-30,9999-12-31,1,Inactive,0,0,
2164,BEN-02164,HH-0606,Yusuf,Warsame,Female,2007-06-07,17,Syrian,IDP,6,Food Security,2024-03-25,2024-03-25,9999-12-31,1,Active,0,0,
2165,BEN-02165,HH-1846,Yusuf,Mohamed,Male,1971-07-27,53,Ethiopian,Stateless,1,Food Security,2022-10-16,2022-10-16,9999-12-31,1,Active,0,0,
2166,BEN-02166,HH-1475,Halima,Ndlovu,Male,1977-08-13,47,Afghan,Stateless,2,Cash Assistance,2022-08-15,2022-08-15,9999-12-31,1,Active,0,1,
2167,BEN-02167,HH-0787,Omar,Barre,Female,1975-04-13,49,South Sudanese,IDP,5,Shelter,2022-02-28,2022-02-28,9999-12-31,1,Active,1,0,
2168,BEN-02168,HH-0454,Omar,Musa,Female,2018-06-11,6,Nigerian,Host Community,6,Shelter,2023-03-13,2023-03-13,9999-12-31,1,Transferred,1,0,
2169,BEN-02169,HH-1076,Ibrahim,Ahmed,Male,2007-06-03,17,Ethiopian,Refugee,3,Protection,2022-10-13,2022-10-13,9999-12-31,1,Active,0,0,
2170,BEN-02170,HH-0204,Mariam,Warsame,Male,1989-09-16,35,Nigerian,IDP,3,Food Security,2022-11-20,2022-11-20,9999-12-31,1,Active,0,1,
2171,BEN-02171,HH-1854,Fatima,Ndlovu,Male,1998-08-03,26,Nigerian,IDP,7,Protection,2022-12-29,2022-12-29,9999-12-31,1,Active,0,0,
2172,BEN-02172,HH-0259,Halima,Diallo,Male,1985-07-19,39,Somali,IDP,10,Shelter,2023-03-30,2023-03-30,9999-12-31,1,Active,0,0,
2173,BEN-02173,HH-0310,Amina,Kofi,Male,1950-09-06,74,Nigerian,Refugee,2,WASH,2023-01-14,2023-01-14,9999-12-31,1,Active,1,0,
2174,BEN-02174,HH-1003,Zainab,Barre,Male,2005-07-14,19,Nigerian,Refugee,1,Food Security,2023-04-08,2023-04-08,9999-12-31,1,Active,1,0,
2175,BEN-02175,HH-0772,Omar,Mohamed,Female,1988-08-08,36,Afghan,Host Community,12,Livelihoods,2022-07-23,2022-07-23,9999-12-31,1,Active,0,0,
2176,BEN-02176,HH-0006,Mariam,Musa,Male,1981-10-01,43,Sudanese,Refugee,5,Cash Assistance,2023-09-26,2023-09-26,9999-12-31,1,Inactive,1,0,
2177,BEN-02177,HH-0170,Ibrahim,Barre,Female,2016-08-25,8,Rohingya,Refugee,5,Cash Assistance,2023-04-25,2023-04-25,9999-12-31,1,Active,0,0,
2178,BEN-02178,HH-0027,Fatima,Musa,Female,1971-12-27,53,Yemeni,IDP,11,Health,2024-06-28,2024-06-28,9999-12-31,1,Transferred,0,1,
2179,BEN-02179,HH-1985,Ibrahim,Kofi,Female,1994-10-06,30,South Sudanese,Host Community,3,Livelihoods,2024-05-26,2024-05-26,9999-12-31,1,Active,0,0,
2180,BEN-02180,HH-1606,Zainab,Mohamed,Male,1961-03-20,63,Yemeni,Returnee,9,Food Security,2022-02-24,2022-02-24,9999-12-31,1,Active,1,0,
2181,BEN-02181,HH-0504,Fatima,Osman,Female,1963-12-26,61,Syrian,Stateless,11,Livelihoods,2022-09-28,2022-09-28,9999-12-31,1,Active,0,1,
2182,BEN-02182,HH-0419,Halima,Ahmed,Male,2006-10-03,18,Congolese,IDP,11,Livelihoods,2024-05-25,2024-05-25,9999-12-31,1,Active,0,0,
2183,BEN-02183,HH-0776,Hassan,Warsame,Female,1956-06-04,68,Afghan,IDP,8,Health,2022-10-10,2022-10-10,9999-12-31,1,Active,1,0,
2184,BEN-02184,HH-0083,Amina,Ahmed,Female,1967-04-11,57,Yemeni,IDP,10,Shelter,2022-02-14,2022-02-14,9999-12-31,1,Transferred,0,0,
2185,BEN-02185,HH-0532,Ibrahim,Ndlovu,Female,1968-08-02,56,Afghan,Stateless,4,Shelter,2022-10-21,2022-10-21,9999-12-31,1,Deceased,0,0,
2186,BEN-02186,HH-1350,Hassan,Ahmed,Female,1959-04-08,65,Afghan,Host Community,10,Health,2024-10-02,2024-10-02,9999-12-31,1,Transferred,0,0,
2187,BEN-02187,HH-0085,Fatima,Osman,Female,1996-12-28,28,South Sudanese,Returnee,6,Shelter,2022-10-13,2022-10-13,9999-12-31,1,Inactive,0,0,
2188,BEN-02188,HH-0912,Ali,Ndlovu,Male,1966-07-04,58,Congolese,Returnee,3,Education,2024-06-01,2024-06-01,9999-12-31,1,Active,0,0,
2189,BEN-02189,HH-1946,Halima,Kofi,Female,1972-05-01,52,Afghan,Stateless,8,Protection,2024-09-28,2024-09-28,9999-12-31,1,Active,0,0,
2190,BEN-02190,HH-0328,Omar,Warsame,Female,2002-10-24,22,Yemeni,Refugee,1,Education,2024-05-22,2024-05-22,9999-12-31,1,Active,1,0,
2191,BEN-02191,HH-1185,Omar,Musa,Female,1950-07-10,74,Yemeni,Returnee,9,Cash Assistance,2024-04-26,2024-04-26,9999-12-31,1,Transferred,1,0,
2192,BEN-02192,HH-1538,Mariam,Kofi,Female,1987-11-01,37,Congolese,Stateless,4,Cash Assistance,2022-09-16,2022-09-16,9999-12-31,1,Inactive,0,1,
2193,BEN-02193,HH-0528,Yusuf,Mohamed,Male,2002-06-03,22,Congolese,Stateless,2,Education,2023-03-18,2023-03-18,9999-12-31,1,Active,0,0,
2194,BEN-02194,HH-0302,Ali,Warsame,Female,1950-05-24,74,Syrian,Stateless,12,Food Security,2023-01-17,2023-01-17,9999-12-31,1,Active,0,1,
2195,BEN-02195,HH-1758,Omar,Ndlovu,Male,2014-11-13,10,Rohingya,Host Community,12,Food Security,2024-08-07,2024-08-07,9999-12-31,1,Active,1,0,
2196,BEN-02196,HH-0275,Fatima,Warsame,Female,2008-04-16,16,Rohingya,IDP,4,WASH,2024-12-20,2024-12-20,9999-12-31,1,Active,0,0,
2197,BEN-02197,HH-1898,Zainab,Warsame,Female,2012-03-17,12,Somali,Returnee,8,Protection,2022-04-25,2022-04-25,9999-12-31,1,Inactive,0,0,
2198,BEN-02198,HH-0834,Ali,Mohamed,Female,1985-06-23,39,Sudanese,Refugee,2,Health,2023-02-08,2023-02-08,9999-12-31,1,Deceased,1,0,
2199,BEN-02199,HH-0599,Hassan,Warsame,Male,1954-05-25,70,Afghan,Host Community,9,WASH,2024-11-26,2024-11-26,9999-12-31,1,Active,1,1,
2200,BEN-02200,HH-0047,Hassan,Mohamed,Female,1990-06-30,34,Syrian,Refugee,12,WASH,2024-02-20,2024-02-20,9999-12-31,1,Active,0,0,
2201,BEN-02201,HH-1825,Ibrahim,Musa,Male,2004-06-02,20,South Sudanese,Stateless,6,Protection,2023-08-09,2023-08-09,9999-12-31,1,Active,0,0,
2202,BEN-02202,HH-0299,Yusuf,Musa,Female,1960-03-15,64,Somali,Stateless,4,Cash Assistance,2023-01-20,2023-01-20,9999-12-31,1,Active,0,0,
2203,BEN-02203,HH-1841,Halima,Warsame,Female,1956-12-12,68,Somali,Returnee,6,Food Security,2022-08-10,2022-08-10,9999-12-31,1,Active,1,0,
2204,BEN-02204,HH-1182,Amina,Warsame,Female,1997-01-01,28,Somali,Refugee,5,Food Security,2024-11-09,2024-11-09,9999-12-31,1,Active,1,0,
2205,BEN-02205,HH-1831,Hassan,Ndlovu,Male,1986-05-24,38,Sudanese,Host Community,4,Health,2024-02-28,2024-02-28,9999-12-31,1,Active,0,0,
2206,BEN-02206,HH-0939,Halima,Ndlovu,Male,1992-10-27,32,Sudanese,Refugee,10,Food Security,2023-09-28,2023-09-28,9999-12-31,1,Active,0,0,
2207,BEN-02207,HH-0917,Fatima,Barre,Female,1984-03-21,40,Rohingya,Host Community,1,Health,2023-08-01,2023-08-01,9999-12-31,1,Deceased,0,0,
2208,BEN-02208,HH-1619,Fatima,Kofi,Male,1963-11-20,61,Syrian,Refugee,7,Health,2024-08-05,2024-08-05,9999-12-31,1,Active,0,1,
2209,BEN-02209,HH-0866,Fatima,Osman,Female,1988-01-25,36,Afghan,Returnee,6,WASH,2024-11-25,2024-11-25,9999-12-31,1,Active,1,1,
2210,BEN-02210,HH-1782,Amina,Ndlovu,Male,1955-11-22,69,Yemeni,Stateless,4,Cash Assistance,2024-09-02,2024-09-02,9999-12-31,1,Active,0,0,
2211,BEN-02211,HH-0865,Halima,Barre,Male,2002-10-04,22,Rohingya,Host Community,4,Cash Assistance,2023-12-14,2023-12-14,9999-12-31,1,Deceased,1,0,
2212,BEN-02212,HH-0795,Ibrahim,Mohamed,Male,1975-04-30,49,Syrian,Returnee,6,Food Security,2022-11-23,2022-11-23,9999-12-31,1,Active,0,0,
2213,BEN-02213,HH-1123,Mariam,Musa,Male,1988-02-27,36,South Sudanese,IDP,1,Shelter,2024-05-26,2024-05-26,9999-12-31,1,Inactive,0,0,
2214,BEN-02214,HH-0367,Mariam,Kofi,Female,1964-02-20,60,Nigerian,Stateless,11,WASH,2024-08-04,2024-08-04,9999-12-31,1,Active,1,0,
2215,BEN-02215,HH-0338,Halima,Mohamed,Female,2016-04-08,8,Ethiopian,Returnee,2,WASH,2022-05-06,2022-05-06,9999-12-31,1,Active,0,1,
2216,BEN-02216,HH-1097,Zainab,Barre,Male,1967-02-01,57,South Sudanese,Returnee,4,Shelter,2022-01-16,2022-01-16,9999-12-31,1,Deceased,0,1,
2217,BEN-02217,HH-0248,Hassan,Warsame,Male,1990-11-25,34,Yemeni,IDP,12,Livelihoods,2022-08-26,2022-08-26,9999-12-31,1,Active,0,0,
2218,BEN-02218,HH-0018,Mariam,Osman,Male,1950-02-05,74,Somali,Refugee,3,Education,2022-05-06,2022-05-06,9999-12-31,1,Active,0,0,
2219,BEN-02219,HH-1820,Amina,Ndlovu,Female,1993-11-09,31,Syrian,Returnee,2,Protection,2023-03-20,2023-03-20,9999-12-31,1,Transferred,0,1,
2220,BEN-02220,HH-0748,Zainab,Kofi,Female,1959-09-20,65,Afghan,Returnee,8,Protection,2024-02-10,2024-02-10,9999-12-31,1,Active,0,1,
2221,BEN-02221,HH-0399,Yusuf,Warsame,Male,1997-01-04,28,South Sudanese,Stateless,12,Cash Assistance,2023-04-26,2023-04-26,9999-12-31,1,Active,0,0,
2222,BEN-02222,HH-1398,Halima,Ahmed,Female,2010-07-05,14,Nigerian,IDP,12,Shelter,2024-02-17,2024-02-17,9999-12-31,1,Active,1,0,
2223,BEN-02223,HH-0500,Zainab,Diallo,Female,2018-03-16,6,South Sudanese,Host Community,12,Education,2023-06-14,2023-06-14,9999-12-31,1,Active,1,1,
2224,BEN-02224,HH-0686,Mariam,Musa,Male,1954-06-29,70,Somali,Host Community,1,Health,2022-08-22,2022-08-22,9999-12-31,1,Active,0,0,
2225,BEN-02225,HH-0063,Hassan,Diallo,Male,1987-08-06,37,Afghan,Host Community,9,WASH,2022-01-19,2022-01-19,9999-12-31,1,Active,0,0,
2226,BEN-02226,HH-1769,Hassan,Ahmed,Male,2003-08-22,21,Yemeni,Host Community,9,WASH,2024-07-22,2024-07-22,9999-12-31,1,Active,1,0,
2227,BEN-02227,HH-1169,Ibrahim,Barre,Male,1959-09-03,65,Ethiopian,Returnee,4,Protection,2023-08-04,2023-08-04,9999-12-31,1,Deceased,0,0,
2228,BEN-02228,HH-1664,Omar,Diallo,Male,2010-11-24,14,Somali,Returnee,12,Shelter,2023-05-07,2023-05-07,9999-12-31,1,Inactive,0,1,
2229,BEN-02229,HH-1595,Hassan,Mohamed,Female,1982-09-25,42,Afghan,Stateless,6,Education,2022-10-27,2022-10-27,9999-12-31,1,Transferred,0,0,
2230,BEN-02230,HH-1372,Omar,Warsame,Male,2014-08-25,10,South Sudanese,Refugee,12,Shelter,2024-10-17,2024-10-17,9999-12-31,1,Active,0,0,
2231,BEN-02231,HH-1366,Ibrahim,Diallo,Female,1957-09-30,67,Somali,Stateless,1,Cash Assistance,2023-09-15,2023-09-15,9999-12-31,1,Active,1,1,
2232,BEN-02232,HH-1955,Ali,Diallo,Male,1960-04-11,64,Sudanese,Host Community,7,WASH,2024-03-31,2024-03-31,9999-12-31,1,Active,0,0,
2233,BEN-02233,HH-1858,Amina,Diallo,Male,1951-02-26,73,Nigerian,Refugee,9,WASH,2022-07-03,2022-07-03,9999-12-31,1,Active,0,0,
2234,BEN-02234,HH-1658,Yusuf,Jama,Male,2015-03-27,9,Congolese,Stateless,11,WASH,2022-01-08,2022-01-08,9999-12-31,1,Active,0,0,
2235,BEN-02235,HH-1280,Amina,Musa,Male,1980-01-24,44,South Sudanese,Host Community,12,WASH,2023-01-04,2023-01-04,9999-12-31,1,Active,0,1,
2236,BEN-02236,HH-1578,Ibrahim,Kofi,Male,1957-12-10,67,Rohingya,Refugee,9,Health,2023-05-12,2023-05-12,9999-12-31,1,Active,1,1,
2237,BEN-02237,HH-0715,Zainab,Warsame,Female,1996-08-23,28,Ethiopian,Returnee,1,Cash Assistance,2022-05-17,2022-05-17,9999-12-31,1,Transferred,1,0,
2238,BEN-02238,HH-0715,Hassan,Ahmed,Male,1957-12-02,67,South Sudanese,Stateless,7,Livelihoods,2022-03-16,2022-03-16,9999-12-31,1,Transferred,0,1,
2239,BEN-02239,HH-0595,Omar,Osman,Male,2005-07-05,19,Ethiopian,IDP,11,Protection,2024-10-28,2024-10-28,9999-12-31,1,Active,0,1,
2240,BEN-02240,HH-1327,Amina,Osman,Female,2015-10-20,9,Syrian,Returnee,8,Health,2023-12-31,2023-12-31,9999-12-31,1,Active,0,1,
2241,BEN-02241,HH-1112,Ali,Kofi,Male,1961-03-28,63,Afghan,Stateless,9,Cash Assistance,2024-12-23,2024-12-23,9999-12-31,1,Active,0,1,
2242,BEN-02242,HH-0942,Ibrahim,Mohamed,Male,2019-08-12,5,Congolese,Returnee,7,Protection,2022-11-27,2022-11-27,9999-12-31,1,Active,0,0,
2243,BEN-02243,HH-0917,Ibrahim,Osman,Female,2001-02-15,23,Yemeni,IDP,3,Food Security,2023-02-03,2023-02-03,9999-12-31,1,Active,0,0,
2244,BEN-02244,HH-0278,Halima,Ndlovu,Female,1978-07-12,46,Syrian,Returnee,3,Protection,2022-08-06,2022-08-06,9999-12-31,1,Active,0,1,
2245,BEN-02245,HH-0052,Hassan,Ahmed,Female,1984-02-09,40,Rohingya,Refugee,6,Food Security,2023-08-30,2023-08-30,9999-12-31,1,Transferred,0,0,
2246,BEN-02246,HH-0224,Ibrahim,Ndlovu,Female,1961-03-13,63,Rohingya,Stateless,4,Health,2024-06-21,2024-06-21,9999-12-31,1,Deceased,1,0,
2247,BEN-02247,HH-1642,Fatima,Jama,Female,1985-07-27,39,Somali,Refugee,5,Protection,2023-12-20,2023-12-20,9999-12-31,1,Active,0,0,
2248,BEN-02248,HH-0009,Zainab,Mohamed,Female,2019-06-06,5,Ethiopian,Stateless,12,Shelter,2022-03-31,2022-03-31,9999-12-31,1,Active,0,1,
2249,BEN-02249,HH-0102,Ali,Diallo,Male,1981-05-13,43,Nigerian,IDP,1,Health,2024-08-06,2024-08-06,9999-12-31,1,Active,1,0,
2250,BEN-02250,HH-0131,Hassan,Kofi,Male,2006-11-05,18,Syrian,Host Community,3,Food Security,2022-01-28,2022-01-28,9999-12-31,1,Active,0,0,
2251,BEN-02251,HH-0332,Ali,Ahmed,Female,1963-05-23,61,Nigerian,IDP,2,Food Security,2023-01-07,2023-01-07,9999-12-31,1,Active,1,0,
2252,BEN-02252,HH-0041,Omar,Warsame,Male,1994-09-21,30,Afghan,Returnee,3,Education,2023-02-05,2023-02-05,9999-12-31,1,Inactive,0,1,
2253,BEN-02253,HH-0962,Yusuf,Diallo,Female,1982-08-11,42,Syrian,Refugee,11,Education,2023-05-05,2023-05-05,9999-12-31,1,Active,0,0,
2254,BEN-02254,HH-0524,Amina,Kofi,Female,1986-08-09,38,Sudanese,Host Community,11,Education,2024-10-12,2024-10-12,9999-12-31,1,Active,0,0,
2255,BEN-02255,HH-1484,Fatima,Warsame,Female,1972-10-27,52,Afghan,Stateless,9,Protection,2023-11-08,2023-11-08,9999-12-31,1,Active,0,0,
2256,BEN-02256,HH-1038,Ali,Warsame,Male,2009-10-09,15,Yemeni,Stateless,7,Shelter,2023-07-03,2023-07-03,9999-12-31,1,Transferred,0,0,
2257,BEN-02257,HH-1700,Yusuf,Jama,Female,1988-12-14,36,Sudanese,IDP,1,Livelihoods,2024-03-13,2024-03-13,9999-12-31,1,Active,0,1,
2258,BEN-02258,HH-1846,Zainab,Warsame,Male,1950-05-30,74,Congolese,Returnee,10,WASH,2024-11-06,2024-11-06,9999-12-31,1,Active,0,0,
2259,BEN-02259,HH-1785,Ibrahim,Musa,Female,1976-12-25,48,Rohingya,Refugee,6,Food Security,2023-05-15,2023-05-15,9999-12-31,1,Inactive,0,0,
